Date,Sales
2014-01-31,878.0300000000002
2014-02-28,1001.9
2014-03-31,779.275
2014-04-30,698.5
2014-05-31,628.7800000000001
2014-06-30,548.225
2014-07-31,491.9
2014-08-31,583.8499999999999
2014-09-30,887.8199999999999
2014-10-31,1856.8149999999996
2014-11-30,723.8
2014-12-31,1015.66
2015-01-31,1044.2400000000002
2015-02-28,953.252
2015-03-31,1084.85
2015-04-30,940.17
2015-05-31,765.9000000000001
2015-06-30,746.788
2015-07-31,708.8280000000001
2015-08-31,790.788
2015-09-30,852.125
2015-10-31,1574.3350000000007
2015-11-30,1277.725
2015-12-31,1258.3490000000002
2016-01-31,1476.3240000000003
2016-02-29,1224.8620000000003
2016-03-31,1150.7000000000005
2016-04-30,998.3370000000004
2016-05-31,997.1500000000004
2016-06-30,760.05
2016-07-31,652.3619999999999
2016-08-31,753.0500000000002
2016-09-30,1118.699
2016-10-31,1617.275000000001
2016-11-30,1062.6860000000004
2016-12-31,1624.3350000000005
2017-01-31,0.0
2017-02-28,526.3500000000001
2017-03-31,612.5000000000002
2017-04-30,540.1999999999998
2017-05-31,547.9399999999998
2017-06-30,496.1
2017-07-31,479.35
2017-08-31,549.3
2017-09-30,863.7500000000002
2017-10-31,1184.3500000000004
2017-11-30,867.8990000000001
2017-12-31,1007.18
2018-01-31,1134.325
2018-02-28,1255.3740000000007
2018-03-31,999.1230000000004
2018-04-30,836.0369999999999
2018-05-31,644.6480000000004
2018-06-30,584.343
2018-07-31,679.3499999999999
2018-08-31,733.838
2018-09-30,1058.2620000000002
2018-10-31,1129.275
2018-11-30,995.15
2018-12-31,1213.95
2019-01-31,1660.6120000000012
2019-02-28,1001.2120000000004
2019-03-31,941.05
2019-04-30,647.6500000000002
2019-05-31,703.5620000000001
2019-06-30,609.9999999999999
2019-07-31,649.8
2019-08-31,518.0999999999999
2019-09-30,984.48
2019-10-31,295.15000000000003
